Procede Data Log
OpenFlash Data File 1
14
Time[s],RPM,Throttle,MAF Volt.,Ignition Adv.,AFR,STFT,LTFT,FLKC,Command AFR,Fuel Sys. Status,Wideband AFR,MAF,O2S2 Volt,A/F Sensor V
0,801.5,0,1.34,5.5,14.01,-6.25,24.22,0,14.94,2,18,3.45,0,2.14
0.10,802.25,0,1.33,5.5,15.04,-6.25,24.22,0,14.94,2,18,3.47,0,2.25
0.20,801.5,0,1.35,5.5,14.7,-5.47,24.22,0,14.94,2,18,3.45,0,2.22
0.30,801.5,0,1.34,5.5,14.7,-5.47,24.22,0,14.94,2,18,3.53,0,2.25
0.40,791,0,1.34,6,14.93,-6.25,24.22,0,14.94,2,18,3.42,0,2.21
0.50,792,0,1.33,6.5,14.36,-5.47,24.22,0,14.94,2,18,3.46,0,2.14
0.60,790.75,0,1.35,6,15.04,-5.47,24.22,0,14.94,2,18,3.32,0,2.24
0.71,788,0,1.35,6.5,15.73,-5.47,24.22,0,14.94,2,18,3.58,0,2.26
0.81,787,0,1.33,6,15.62,-4.69,24.22,0,14.94,2,18,3.21,0,2.31
0.91,782.75,0,1.34,5,15.62,-4.69,24.22,0,14.94,2,18,3.44,0,2.31
1.01,784.5,0,1.43,6.5,15.5,-4.69,24.22,0,14.94,2,18,4.08,0,2.28
1.11,793.75,0,1.43,4.5,15.39,-3.91,24.22,0,14.94,2,18,4.46,0,2.3
1.21,823,0,1.42,0,14.59,-3.91,24.22,0,14.94,2,18,4.25,0,2.21
1.31,829.5,0,1.33,0,14.59,-3.91,24.22,0,14.94,2,18,3.58,0,2.28
1.41,818,0,1.31,0,15.27,-4.69,24.22,0,14.94,2,18,3.36,0,2.16
1.52,815.5,0,1.31,0,14.36,-3.91,24.22,0,14.94,2,18,3.2,0,2.13
1.62,831.25,0,1.35,0,14.59,-4.69,24.22,0,14.94,2,18,3.48,0,2.18
1.72,839.5,0,1.35,1,14.59,-4.69,24.22,0,14.94,2,18,3.31,0,2.2
1.82,855.75,0,1.33,2,14.24,-5.47,24.22,0,14.94,2,18,3.31,0,2.11
1.92,854.75,0,1.47,3.5,14.36,-4.69,23.44,0,14.94,2,18,3.25,0,2.16
2.02,822.75,0,1.54,4.5,14.47,-3.91,23.44,0,14.94,2,18,4.62,0,2.28
