Procede Data Log
OpenFlash Data File 1
13
Time[s],RPM,Throttle,MAF Volt.,Engine Load,Intake Air Temp.,Ignition Adv.,AFR,STFT,LTFT,Boost,FLKC,Oil Temp.,Command AFR
0,0,0,0.75,0,100.4,0,14.7,0,0,0,0,147.2,15.06
0.10,0,0,0.75,0,100.4,0,14.7,0,0,-0.13,0,147.2,15.06
0.20,0,0,0.75,0,100.4,0,14.7,0,0,0,0,147.2,15.06
0.30,0,0,0.75,0,100.4,0,14.7,0,0,0,0,147.2,15.06
0.40,0,0,0.75,0,100.4,0,14.7,0,0,0,0,147.2,15.06
0.51,0,0,0.75,0,100.4,0,14.7,0,0,0,0,147.2,15.06
0.61,0,0,0.75,0,100.4,0,14.7,0,0,0,0,147.2,15.06
0.71,0,0,0.75,0,100.4,0,14.7,0,0,0,0,147.2,15.06
0.81,0,0,0.75,0,100.4,0,14.7,0,0,0,0,147.2,15.06
0.92,0,0,0.75,0,100.4,0,14.7,0,0,0,0,147.2,15.06
1.02,0,0,0.75,0,-40,0,0,-100,-100,0,0,147.2,15.06
1.13,0,0,0.75,0,-40,0,0,-100,-100,0,0,-40,0
1.24,0,0,0,0,-40,0,0,-100,-100,0,0,-40,0
1.35,0,0,0,0,-40,0,0,-100,-100,0,0,-40,0
1.49,0,0,0,0,-40,0,0,-100,-100,0,0,-40,0
1.59,0,0,0,0,-40,0,0,-100,-100,0,0,-40,0
1.69,0,0,0,0,-40,0,0,-100,-100,0,0,-40,0
2.19,0,0,0,0,32,0,14.7,0,0,-14.35,0,-40,0
2.29,0,0,0.94,0,100.4,0,14.7,0,0,-0.42,0,147.2,15.06
2.39,0,0,1.07,0.68,100.4,1,14.7,0,0,-0.28,0,147.2,15.06
2.50,213.5,0,1.14,0.66,100.4,1,14.7,0,0,-0.57,0,147.2,15.06
2.61,213.5,0,1.18,0.51,100.4,1,14.7,0,0,-0.57,0,147.2,15.06
2.72,402.25,0,1.2,0.62,100.4,1,14.7,0,0,-0.28,0,147.2,15.06
2.83,765.75,0,1.42,0.25,100.4,1,14.7,0,0,-2.45,0,147.2,15.06
2.93,969.5,0,1.52,0.32,100.4,7,15.96,0,0,-3.03,0,147.2,15.06
3.04,1157,0,1.55,0.3,100.4,8,17,0,0,-3.47,0,147.2,15.06
3.14,1250.25,0,1.58,0.28,100.4,6,17.46,0,0,-4.78,0,147.2,15.06
3.24,1267,0,1.59,0.29,100.4,6.5,17.57,0,0,-5.79,0,147.2,15.06
3.34,1431.5,0,1.58,0.28,100.4,7.5,17.8,0,0,-5.79,0,147.2,15.06
3.44,1509.25,0,1.8,0.38,100.4,8,17.92,0,0,-6.52,0,147.2,15.06
3.54,1479.5,0,1.82,0.42,100.4,1,18.26,0,0,-6.23,0,147.2,15.06
3.64,1566,0,1.82,0.39,100.4,1,18.49,0,0,-6.52,0,147.2,15.06
3.74,1701.5,0,1.82,0.37,100.4,1,18.83,0,0,-6.81,0,147.2,15.06
3.84,1769.75,0,1.81,0.32,100.4,1,19.18,0,0,-6.81,0,147.2,15.06
3.94,1879.5,0,1.81,0.32,100.4,1,19.98,0,0,-7.24,0,147.2,15.06
4.04,1971.25,0,1.81,0.32,100.4,1,20.33,0,0,-7.39,0,147.2,15.06
4.15,2012.75,0,1.8,0.29,100.4,1,20.33,0,0,-7.97,0,147.2,15.06
4.25,2042.25,0,1.81,0.29,100.4,1,20.33,0,0,-8.11,0,147.2,15.06
4.35,2077.25,0,1.82,0.3,100.4,1,20.33,0,0,-8.26,0,147.2,15.06
4.45,2080,0,1.8,0.28,98.6,1,20.33,0,0,-8.4,0,147.2,15.06
4.55,2084,0,1.8,0.29,98.6,1,20.21,0,0,-8.4,0,147.2,15.06
4.65,2089,0,1.82,0.3,98.6,1,19.87,0,0,-8.55,0,147.2,15.06
4.76,2090,0,1.82,0.3,98.6,1,20.21,0,0,-8.55,0,147.2,15.06
4.86,2090,0,1.83,0.3,98.6,1,19.98,0,0,-8.55,0,147.2,15.06
4.97,2096.75,0,1.83,0.3,98.6,1,19.87,0,0,-8.69,0,147.2,15.06
5.07,2102.5,0,1.82,0.3,98.6,1,20.1,0,0,-8.69,0,147.2,15.06
5.18,2103,0,1.83,0.29,98.6,1,20.1,0,0,-8.69,0,147.2,15.06
5.29,2097.75,0,1.84,0.3,98.6,1,20.1,0,0,-8.84,0,147.2,15.06
5.39,2093.75,0,1.83,0.3,98.6,1,19.41,0,0,-8.55,0,147.2,15.06
