Procede Data Log
OpenFlash Data File 1
13
Time[s],RPM,Throttle,MAF Volt.,Engine Load,Intake Air Temp.,Ignition Adv.,AFR,STFT,LTFT,FLKC,Oil Temp.,Command AFR,Fuel Sys. Status
0,778.25,0,1.38,0.3,118.4,5,15.73,3.91,-0.78,0,203,14.94,2
0.10,727.75,0,1.4,0.3,118.4,9.5,15.39,4.69,-0.78,0,203,14.94,2
0.20,722.75,0,1.39,0.32,118.4,9.5,15.16,4.69,-0.78,0,201.2,14.94,2
0.30,725,0,1.44,0.35,118.4,8.5,14.93,4.69,-0.78,0,201.2,14.94,2
0.41,734,0,1.42,0.34,118.4,8,14.81,3.91,-0.78,0,201.2,14.94,2
0.52,740.75,0,1.41,0.33,118.4,7,14.7,3.91,-0.78,0,203,14.94,2
0.62,746.75,0,1.4,0.34,118.4,7,14.7,3.91,-0.78,0,203,14.94,2
0.72,748.25,0,1.38,0.31,118.4,6.5,14.7,3.91,-0.78,0,203,14.94,2
0.82,755.5,0,1.41,0.31,118.4,6,14.7,3.91,-0.78,0,203,14.94,2
0.93,756.75,0,1.4,0.32,118.4,6,14.7,3.91,-0.78,0,203,14.94,2
1.03,754.75,0,1.36,0.3,118.4,6,14.7,3.91,-0.78,0,203,14.94,2
1.14,756.5,0,1.36,0.29,118.4,6,14.7,3.91,-0.78,0,203,14.94,2
1.24,758.5,0,1.39,0.31,118.4,6.5,14.59,3.91,-0.78,0,203,14.94,2
1.35,750.25,0,1.4,0.32,118.4,7,14.47,3.91,-0.78,0,203,14.94,2
1.45,751,0,1.39,0.31,118.4,7,14.47,3.91,-0.78,0,203,14.94,2
1.56,742.75,0,1.39,0.31,118.4,8,14.36,3.91,-0.78,0,203,14.94,2
1.66,744.75,0,1.39,0.32,118.4,8,14.24,3.12,-0.78,0,203,14.94,2
1.77,742,0,1.4,0.31,118.4,8,14.24,3.12,-0.78,0,203,14.94,2
1.87,740,0,1.4,0.33,118.4,7.5,14.24,3.12,-0.78,0,203,14.94,2
1.97,740.75,0,1.4,0.31,118.4,7.5,14.24,3.12,-0.78,0,203,14.94,2
2.07,742,0,1.38,0.31,118.4,7.5,14.36,3.12,-0.78,0,203,14.94,2
2.18,736.75,0,1.38,0.29,118.4,8,14.24,3.12,-0.78,0,203,14.94,2
2.28,736.5,0,1.39,0.33,118.4,8,14.36,2.34,-0.78,0,203,14.94,2
2.39,730.25,0,1.38,0.33,118.4,8.5,14.47,2.34,-0.78,0,203,14.94,2
2.50,726.25,0,1.39,0.31,118.4,9.5,14.47,2.34,-0.78,0,203,14.94,2
2.60,720.25,0,1.4,0.33,118.4,9.5,14.47,2.34,-0.78,0,203,14.94,2
2.70,716.25,0,1.39,0.32,118.4,9.5,14.47,2.34,-0.78,0,203,14.94,2
2.80,718.25,0,1.4,0.32,118.4,9.5,14.47,2.34,-0.78,0,203,14.94,2
2.90,716.25,0,1.39,0.32,118.4,9,14.47,2.34,0,0,201.2,14.94,2
3.00,721.5,0,1.42,0.34,118.4,9,14.47,2.34,0,0,203,14.94,2
3.10,726.75,0,1.41,0.33,118.4,8.5,14.47,2.34,0,0,203,14.94,2
3.20,728,0,1.42,0.34,118.4,8.5,14.47,2.34,0,0,203,14.94,2
3.30,726.75,0,1.39,0.34,118.4,8.5,14.47,2.34,0,0,203,14.94,2
