Procede Data Log
OpenFlash Data File 1
13
Time[s],RPM,Throttle,MAF Volt.,Engine Load,Intake Air Temp.,Ignition Adv.,AFR,STFT,LTFT,FLKC,Oil Temp.,Command AFR,Fuel Sys. Status
0,1447.75,0,1.47,0.21,109.4,15.5,19.06,0,18.75,0,183.2,15.06,4
0.11,1101.25,0,1.48,0.26,109.4,12,20.33,0,18.75,0,183.2,15.06,4
0.21,1098.75,0,1.56,0.31,109.4,0,20.33,0,18.75,0,183.2,15.06,4
0.32,1132.5,0,1.57,0.32,109.4,0,20.33,0,18.75,0,183.2,15.06,4
0.42,1252.25,0,1.53,0.27,109.4,0,20.33,0,18.75,0,183.2,15.06,4
0.52,1247.5,0,1.43,0.21,109.4,2.5,20.33,0,18.75,0,183.2,15.06,4
0.62,1246.75,0,1.42,0.2,109.4,4,20.33,0,18.75,0,183.2,15.06,4
0.72,1248.25,0,1.41,0.2,109.4,8.5,20.33,0,18.75,0,183.2,15.06,4
0.82,1265,0,1.43,0.2,109.4,11,18.15,0,18.75,0,183.2,15.06,4
0.92,1269.5,0,1.43,0.2,109.4,11,15.5,0,18.75,0,183.2,15.06,4
1.02,1264.5,0,1.42,0.19,109.4,11.5,14.36,0,18.75,0,183.2,14.94,2
1.12,1263.75,0,1.42,0.2,109.4,10.5,12.75,-1.56,18.75,0,183.2,14.94,2
1.22,1288.25,0,1.43,0.19,109.4,11,12.29,-3.12,18.75,0,183.2,14.94,2
1.32,1300.25,0,1.43,0.2,109.4,11.5,12.4,-3.91,18.75,0,183.2,14.94,2
1.42,1294,0,1.42,0.2,109.4,12,12.29,-5.47,18.75,0,183.2,14.94,2
1.52,1297.75,0,1.42,0.19,109.4,12,12.17,-7.03,18.75,0,183.2,14.94,2
1.62,1290,0,1.42,0.19,109.4,12,12.52,-7.81,18.75,0,183.2,14.94,2
1.72,1281.5,0,1.42,0.2,109.4,12,12.86,-7.81,18.75,0,183.2,14.94,2
1.82,1270,0,1.42,0.19,109.4,12,13.09,-8.59,18.75,0,183.2,14.94,2
1.93,1251.25,0,1.42,0.2,109.4,11.5,13.09,-9.38,18.75,0,183.2,14.94,2
2.04,1226.75,0,1.41,0.2,109.4,11.5,13.09,-9.38,18.75,0,183.2,14.94,2
2.15,1193.5,0,1.41,0.2,109.4,11,12.98,-10.16,18.75,0,183.2,14.94,2
2.25,1185.75,0,1.4,0.2,109.4,10.5,12.75,-10.94,18.75,0,183.2,14.94,2
2.35,1173.75,0,1.4,0.2,109.4,11,13.21,-11.72,18.75,0,183.2,14.94,2
2.46,1137,0,1.4,0.21,109.4,11,13.09,-12.5,18.75,0,183.2,14.94,2
