Procede Data Log
OpenFlash Data File 1
13
Time[s],RPM,Throttle,MAF Volt.,Engine Load,Intake Air Temp.,Ignition Adv.,AFR,STFT,LTFT,Boost,FLKC,Oil Temp.,Command AFR
0,2303.5,8.13,2.2,0.5,87.8,31,13.9,2.34,11.72,-5.36,0,203,14.82
0.10,2304.25,8.09,2.19,0.5,87.8,31,14.47,0,11.72,-5.65,0,203,14.82
0.20,2304.75,8.12,2.2,0.5,87.8,31,14.7,0,11.72,-5.65,0,203,14.82
0.31,2305.5,8.23,2.21,0.51,87.8,31,14.7,0.78,11.72,-5.5,0,203,14.82
0.42,2306.5,8.19,2.2,0.5,87.8,31,14.59,2.34,11.72,-5.5,0,203,14.82
0.52,2306.75,8.27,2.2,0.51,87.8,31,14.47,0.78,11.72,-5.5,0,203,14.82
0.63,2308.75,8.23,2.2,0.51,87.8,31,14.24,0.78,11.72,-5.65,0,203,14.82
0.73,2309.5,8.3,2.21,0.51,87.8,31,14.59,0.78,11.72,-5.65,0,203,14.82
0.83,2312,8.34,2.21,0.52,87.8,31,14.59,0,11.72,-5.5,0,203,14.82
0.94,2312.5,8.18,2.22,0.52,87.8,31,14.36,0.78,11.72,-5.5,0,203,14.82
1.05,2314,8.39,2.25,0.54,87.8,31,14.47,0.78,11.72,-5.36,0,203,14.82
1.16,2317.75,8.29,2.25,0.54,87.8,30,14.7,1.56,12.5,-5.21,0,203,14.82
1.26,2321.25,8.37,2.24,0.53,87.8,30,14.24,0,13.28,-5.07,0,203,14.82
1.37,2319.75,8.52,2.25,0.54,87.8,30,14.7,-0.78,13.28,-5.07,0,203,14.82
1.47,2320,9.36,2.28,0.56,87.8,30,14.59,0,13.28,-4.92,0,203,14.82
1.57,2319,9.36,2.29,0.57,87.8,29,14.81,0.78,14.06,-4.63,0,203,14.71
1.68,2322.25,9.51,2.29,0.57,87.8,28.5,14.7,1.56,14.06,-4.63,0,203,14.71
1.78,2320,9.4,2.28,0.57,87.8,28.5,14.59,2.34,14.06,-4.63,0,203,14.71
1.88,2323.25,9.3,2.28,0.57,87.8,28.5,14.01,1.56,16.41,-4.78,0,203,14.71
1.98,2323,9.3,2.29,0.56,87.8,28.5,14.13,0.78,16.41,-4.78,0,203,14.71
2.08,2324.5,9.27,2.28,0.56,87.8,28.5,13.9,0,16.41,-4.78,0,203,14.71
2.18,2324.25,8.91,2.25,0.55,87.8,28.5,13.9,-0.78,16.41,-4.78,0,203,14.71
2.28,2324.25,8.66,2.24,0.54,87.8,29,14.47,-1.56,16.41,-4.78,0,203,14.71
2.38,2324.5,8.48,2.23,0.52,87.8,29.5,14.59,-1.56,16.41,-4.92,0,203,14.71
2.48,2327.5,8.46,2.23,0.54,87.8,30,14.36,-2.34,16.41,-4.92,0,203,14.82
