Procede Data Log
OpenFlash Data File 1
13
Time[s],RPM,Throttle,MAF Volt.,Engine Load,Intake Air Temp.,Ignition Adv.,AFR,STFT,LTFT,FLKC,Oil Temp.,Command AFR,Fuel Sys. Status
0,868.25,0,1.28,0.18,131,4.5,14.36,0,1.56,0,194,14.94,2
0.10,899.5,0,1.26,0.18,131,4.5,14.13,-0.78,1.56,0,194,14.94,2
0.20,901,0,1.25,0.18,131,4.5,14.13,-1.56,1.56,0,194,14.94,2
0.31,899,0,1.25,0.17,131,5,14.01,-1.56,1.56,0,194,14.94,2
0.41,895.75,0,1.26,0.18,131,5,14.01,-1.56,1.56,0,194,14.94,2
0.51,892.5,0,1.27,0.19,131,5,14.01,-1.56,1.56,0,194,14.94,2
0.62,881,0,1.29,0.2,131,5,14.01,-2.34,1.56,0,194,14.94,2
0.72,863.5,0,1.28,0.19,131,5.5,14.01,-2.34,1.56,0,194,14.94,2
0.83,856.25,0,1.26,0.19,131,5.5,14.01,-2.34,1.56,0,194,14.94,2
0.94,833.75,0,1.26,0.19,131,5.5,14.13,-2.34,1.56,0,194,14.94,2
1.04,835,0,1.26,0.2,131,6,14.13,-2.34,1.56,0,194,14.94,2
1.14,833,0,1.28,0.2,131,5.5,14.13,-3.12,1.56,0,194,14.94,2
1.25,816,0,1.25,0.2,131,6,14.13,-3.12,1.56,0,194,14.94,2
1.35,819.25,0,1.25,0.2,131,5.5,14.24,-3.12,1.56,0,194,14.94,2
1.46,817.5,0,1.22,0.18,131,5.5,14.36,-3.12,1.56,0,194,14.94,2
1.56,811.25,0,1.23,0.17,131,5.5,14.47,-3.12,1.56,0,194,14.94,2
1.66,814.5,0,1.28,0.19,131,5.5,14.47,-2.34,1.56,0,194,14.94,2
1.76,812.5,0,1.28,0.21,131,5.5,14.59,-2.34,1.56,0,194,14.94,2
1.86,810,0,1.26,0.2,131,5.5,14.7,-2.34,1.56,0,194,14.94,2
1.96,813,0,1.22,0.17,131,5.5,14.7,-2.34,1.56,0,194,14.94,2
2.07,813,0,1.23,0.18,131,5.5,14.93,-2.34,1.56,0,194,14.94,2
2.17,821.25,0,1.26,0.19,131,5.5,14.93,-2.34,1.56,0,194,14.94,2
2.27,819,0,1.27,0.19,131,5.5,14.93,-1.56,1.56,0,194,14.94,2
2.38,814,0,1.24,0.2,131,5.5,14.93,-1.56,1.56,0,194,14.94,2
2.48,813.25,0,1.25,0.2,131,5.5,15.04,-1.56,1.56,0,194,14.94,2
