Time (s),Engine RPM,Calculated Load %,MAF g/s,Throttle %,AFR,Commanded AFR,STFT %,LTFT %,Ignition Timing,Knock Count,Intake Air Temp C
0.0,3853.0,47.4,75.2,46.9,14.76,14.7,2.7,2.3,26.3,0,35.3
0.1,3700.0,48.9,74.6,48.1,14.79,14.7,2.1,-0.5,25.9,0,36.2
0.2,3976.0,55.6,94.6,51.0,14.58,14.7,0.9,0.2,26.0,0,36.6
0.3,3920.0,52.0,86.7,49.1,14.81,14.7,-2.7,1.3,23.7,0,36.7
0.4,3601.0,50.0,74.6,49.4,14.72,14.7,-2.7,5.3,25.5,0,34.1
0.5,4158.0,56.9,98.2,59.6,14.51,14.7,1.1,1.5,24.1,0,34.8
0.6,4067.0,56.6,94.8,53.7,14.67,14.7,-2.7,3.4,23.1,0,35.7
0.7,4119.0,45.8,76.7,48.9,14.91,14.7,-0.5,2.8,26.6,0,37.8
0.8,3750.0,49.4,77.0,49.8,14.95,14.7,0.6,1.6,24.1,0,36.7
0.9,3983.0,48.9,80.1,51.4,14.81,14.7,-2.3,-0.5,27.2,0,36.4
1.0,3968.0,50.3,83.1,50.0,14.52,14.7,-2.0,2.6,24.7,0,34.9
1.1,4356.0,58.0,103.7,58.0,14.77,14.7,-0.2,-1.2,25.5,0,34.5
1.2,4211.0,60.8,105.8,62.2,12.63,12.5,1.0,3.4,22.8,0,36.2
1.3,4363.0,63.7,115.9,69.1,12.61,12.5,2.1,1.3,23.1,0,34.3
1.4,4150.0,49.0,85.1,48.9,14.82,14.7,1.2,-3.0,25.7,0,35.2
1.5,4041.0,54.2,91.6,54.5,14.75,14.7,0.1,0.5,24.4,0,35.4
1.6,4293.0,58.6,103.5,59.8,14.69,14.7,-1.5,2.0,22.8,0,37.1
1.7,3995.0,47.6,80.1,49.9,14.61,14.7,-2.1,0.6,26.2,0,35.2
1.8,4549.0,51.9,97.5,47.4,14.42,14.7,-1.0,2.1,25.4,0,33.2
1.9,4450.0,49.1,91.6,49.2,14.75,14.7,0.8,-0.3,24.9,0,36.1
2.0,4573.0,63.7,121.4,63.5,12.53,12.5,0.7,-1.0,21.9,0,35.0
2.1,4324.0,54.8,97.4,59.4,14.78,14.7,-4.2,0.9,23.7,0,35.7
2.2,4795.0,71.3,142.2,71.2,12.3,12.5,-1.6,1.0,22.5,0,35.6
2.3,4777.0,61.3,122.4,60.9,12.6,12.5,2.4,0.5,22.6,0,35.5
2.4,4729.0,70.0,138.6,76.5,12.81,12.5,0.2,2.8,22.0,0,36.6
2.5,4337.0,53.7,96.9,53.2,14.71,14.7,-2.8,-0.3,24.4,0,34.3
2.6,4569.0,63.9,123.3,59.9,12.49,12.5,4.7,1.5,22.3,0,35.3
2.7,4287.0,47.6,86.1,44.9,14.75,14.7,-0.1,1.1,24.8,0,36.6
2.8,4400.0,57.1,104.4,52.5,15.0,14.7,0.8,-1.3,23.3,0,35.3
2.9,4832.0,68.5,138.6,61.6,12.35,12.5,0.8,-1.0,21.1,0,34.4
3.0,4913.0,72.2,149.7,71.2,12.53,12.5,-0.7,1.0,21.5,0,36.7
