Time (s),Engine RPM,Calculated Load %,MAF g/s,Throttle %,AFR,Commanded AFR,STFT %,LTFT %,Ignition Timing,Knock Count,Intake Air Temp C
0.0,3601.0,41.1,62.5,44.1,14.67,14.7,1.9,0.6,31.6,0,43.0
0.1,3963.0,50.2,82.5,53.0,14.68,14.7,1.7,2.1,30.7,0,44.1
0.2,3946.0,55.8,92.2,51.4,14.7,14.7,5.4,4.4,27.7,0,44.9
0.3,3554.0,41.0,59.6,37.4,14.69,14.7,2.4,2.7,32.0,0,43.2
0.4,3742.0,45.2,71.3,49.0,14.62,14.7,-0.2,1.8,31.8,0,44.2
0.5,3708.0,50.8,78.8,47.1,14.81,14.7,-1.8,5.4,28.7,0,43.6
0.6,4009.0,47.6,78.3,46.6,14.82,14.7,-0.5,3.7,28.8,0,42.8
0.7,3978.0,47.9,79.2,48.9,14.97,14.7,-0.7,3.2,28.6,0,41.3
0.8,3976.0,46.7,78.3,44.0,14.61,14.7,1.0,2.5,30.9,0,44.9
0.9,4179.0,57.6,99.1,54.5,14.8,14.7,-1.4,3.1,28.0,0,42.3
1.0,3944.0,55.5,90.1,55.1,14.41,14.7,2.4,3.1,29.2,0,44.7
1.1,4009.0,52.1,87.0,50.7,14.82,14.7,-2.8,-1.3,28.7,0,43.9
1.2,4354.0,57.5,106.4,59.5,14.48,14.7,-3.3,2.6,26.2,0,42.4
1.3,4460.0,55.2,101.9,50.5,14.55,14.7,-0.3,1.8,25.8,0,43.7
1.4,4369.0,47.5,87.0,47.4,14.75,14.7,-1.7,1.3,33.0,0,45.6
1.5,4034.0,45.6,76.9,42.6,14.61,14.7,-2.5,1.7,31.1,0,45.0
1.6,3996.0,44.7,73.8,45.6,14.59,14.7,-1.3,-0.3,31.0,0,43.0
1.7,4093.0,45.5,77.8,42.0,14.63,14.7,-1.5,-0.7,30.9,0,42.9
1.8,4272.0,56.7,100.4,53.3,14.81,14.7,0.0,3.9,26.4,0,43.7
1.9,4177.0,47.0,81.4,49.8,14.56,14.7,-1.2,2.7,29.5,0,43.5
2.0,4673.0,52.8,101.2,50.1,14.69,14.7,-1.1,-1.6,30.5,0,44.9
2.1,4547.0,56.4,106.7,59.0,14.64,14.7,-0.0,1.1,28.6,0,44.4
2.2,4401.0,51.9,96.1,49.6,14.82,14.7,2.0,3.3,28.3,0,42.0
2.3,4331.0,49.2,88.9,46.6,14.83,14.7,2.9,1.6,28.5,0,44.2
2.4,4441.0,50.8,95.0,48.7,14.42,14.7,0.3,3.9,28.8,0,43.6
2.5,4543.0,54.1,103.0,58.2,14.86,14.7,0.5,3.6,28.2,0,43.9
2.6,4752.0,62.3,123.2,61.0,12.41,12.5,-0.4,-0.0,28.5,0,44.1
2.7,4321.0,59.2,105.9,56.2,14.74,14.7,1.0,1.8,27.0,0,45.1
2.8,4922.0,71.0,145.1,71.5,12.36,12.5,0.8,1.3,23.1,0,44.9
2.9,4410.0,60.6,109.8,59.2,12.56,12.5,2.7,-0.1,26.8,0,43.2
3.0,4544.0,60.6,114.5,64.1,12.88,12.5,-3.8,-0.2,27.1,0,43.9
3.1,5139.0,75.8,162.4,83.2,12.52,12.5,-0.5,0.8,21.8,0,43.6
3.2,4549.0,58.8,113.2,59.1,14.63,14.7,0.7,1.0,27.7,0,42.4
3.3,4510.0,60.2,113.6,59.6,12.47,12.5,-0.1,2.4,28.2,0,44.0
3.4,4964.0,63.1,129.7,61.1,12.28,12.5,-1.9,3.6,26.4,0,46.0
3.5,4801.0,59.1,116.8,64.7,14.92,14.7,-2.6,2.8,26.4,0,42.5
3.6,4590.0,56.1,107.1,55.9,14.75,14.7,1.6,3.1,27.4,0,44.2
3.7,4547.0,52.3,99.8,48.9,14.54,14.7,-1.5,1.6,27.3,0,44.2
3.8,4637.0,65.1,125.6,71.2,12.35,12.5,-3.5,2.9,25.6,0,44.6
3.9,5030.0,57.1,120.2,62.3,14.7,14.7,1.7,1.8,28.0,0,43.3
4.0,4819.0,65.9,132.1,65.0,12.64,12.5,0.9,1.3,24.6,0,42.9
4.1,5305.0,77.7,172.5,75.4,12.33,12.5,-0.2,4.8,24.5,0,43.0
4.2,5404.0,71.5,159.5,74.1,12.67,12.5,-1.8,-1.5,24.9,0,45.7
4.3,4833.0,54.7,111.8,58.3,14.69,14.7,-0.2,-0.8,26.5,0,43.4
4.4,5025.0,64.4,133.6,64.3,12.36,12.5,2.4,2.6,24.1,0,44.0
4.5,4890.0,60.7,124.5,58.6,12.43,12.5,-3.2,1.6,25.8,0,46.6
4.6,5038.0,75.6,158.4,72.6,12.76,12.5,-3.1,-0.2,24.7,0,43.8
4.7,5025.0,69.5,145.5,67.1,12.29,12.5,-1.3,0.4,25.5,0,44.9
4.8,5532.0,78.5,180.6,72.5,12.39,12.5,-0.1,0.6,24.0,0,45.7
4.9,5173.0,68.4,147.6,72.2,12.64,12.5,-1.0,3.3,24.9,0,45.6
5.0,5334.0,75.0,167.1,69.0,12.53,12.5,1.3,3.8,23.1,0,43.3
5.1,5522.0,78.3,181.2,76.7,12.38,12.5,2.2,4.5,21.2,0,44.0
5.2,5684.0,66.0,157.8,70.5,12.64,12.5,0.6,-0.4,25.8,0,45.0
5.3,5242.0,63.4,138.7,62.1,12.65,12.5,1.1,-0.1,26.0,0,46.7
5.4,5185.0,58.3,127.6,55.9,14.75,14.7,0.5,-0.2,27.2,0,44.0
5.5,5915.0,79.7,196.5,86.8,12.41,12.5,0.0,3.9,23.7,0,44.3
5.6,5338.0,78.5,175.8,72.7,12.43,12.5,-2.6,2.6,22.2,0,45.3
5.7,5689.0,78.5,186.5,84.5,12.54,12.5,-2.1,2.1,23.7,0,45.5
5.8,5722.0,76.5,181.9,69.8,12.3,12.5,-2.7,2.3,21.3,0,45.6
5.9,5596.0,84.1,196.2,82.6,12.7,12.5,-0.3,1.9,23.7,0,44.1
6.0,5353.0,63.8,142.9,65.5,12.76,12.5,0.5,0.3,25.7,0,44.5
6.1,5295.0,61.0,134.5,59.4,12.46,12.5,-2.9,2.8,27.5,0,45.2
6.2,5647.0,84.8,199.9,85.4,12.55,12.5,0.1,1.7,21.7,0,46.3
6.3,5695.0,85.3,203.2,80.2,12.68,12.5,-1.8,0.2,20.2,0,44.8
