Time (s),Engine RPM,Calculated Load %,MAF g/s,Throttle %,AFR,Commanded AFR,STFT %,LTFT %,Ignition Timing,Knock Count,Intake Air Temp C
0.0,3527.0,45.0,74.9,47.6,13.29,14.7,-7.2,-14.0,22.0,0,39.1
0.1,3539.0,40.4,76.7,42.6,13.73,14.7,-9.0,-13.3,24.4,0,42.2
0.2,3694.0,46.0,75.5,47.6,12.58,14.7,-5.2,-14.0,21.9,0,36.0
0.3,3708.0,44.5,70.8,44.7,13.44,14.7,-2.8,-12.8,23.2,0,40.0
0.4,3321.0,42.0,62.9,40.4,13.02,14.7,-3.9,-14.6,23.2,0,40.7
0.5,3790.0,39.2,81.5,36.8,13.24,14.7,-6.4,-15.6,24.2,0,43.5
0.6,3649.0,42.3,70.1,46.2,12.51,14.7,-6.0,-11.6,23.1,0,35.2
0.7,3643.0,42.6,76.6,44.9,13.44,14.7,-4.7,-14.7,21.2,0,40.1
0.8,3835.0,47.6,79.4,45.5,13.24,14.7,-4.3,-14.7,23.1,0,36.7
0.9,3951.0,44.0,82.9,44.1,12.99,14.7,-6.5,-14.1,22.6,0,41.5
1.0,3748.0,34.1,79.1,33.2,10.49,11.8,-5.9,-13.9,25.1,0,42.3
1.1,4073.0,43.6,80.1,40.2,9.81,11.8,-5.5,-14.5,23.4,0,43.9
1.2,4124.0,48.3,81.0,48.8,9.79,11.8,-5.2,-14.0,21.2,0,38.4
1.3,4080.0,48.3,86.9,47.0,9.93,11.8,-6.2,-14.0,21.0,0,42.8
1.4,4013.0,53.9,80.1,51.1,10.15,11.8,-6.2,-13.8,21.7,0,44.1
1.5,4042.0,49.9,72.2,45.4,9.76,11.8,-3.9,-16.8,21.4,0,35.1
1.6,4324.0,51.2,91.6,46.5,9.74,11.8,-4.2,-11.7,22.4,0,41.8
1.7,4061.0,47.6,79.5,46.5,10.16,11.8,-5.3,-14.2,21.9,0,42.9
1.8,4411.0,56.3,92.7,56.1,9.99,11.8,-3.4,-13.3,21.6,0,39.2
1.9,4303.0,48.3,94.2,45.6,9.39,11.8,-6.6,-15.7,22.4,0,36.4
2.0,4351.0,50.6,89.7,52.6,9.59,11.8,-3.6,-14.6,21.8,0,42.8
2.1,4197.0,45.0,90.4,44.8,10.28,11.8,-5.2,-14.8,22.1,0,36.4
2.2,4423.0,57.7,91.7,59.4,10.0,11.8,-1.1,-12.2,20.6,0,39.5
2.3,4553.0,55.1,100.1,54.6,9.71,11.8,-7.8,-14.7,22.0,0,39.9
2.4,4356.0,48.4,85.4,46.1,9.86,11.8,-7.0,-13.1,21.9,0,42.1
2.5,4613.0,53.8,94.9,54.2,9.9,11.8,-5.4,-14.8,21.6,0,38.1
2.6,4600.0,56.2,97.4,52.4,10.08,11.8,-5.4,-14.5,20.7,0,37.9
2.7,4548.0,52.5,92.9,54.1,9.56,11.8,-3.1,-14.3,21.4,0,40.3
2.8,4762.0,53.9,102.7,51.1,9.69,11.8,-7.0,-12.5,22.7,0,43.0
2.9,4429.0,49.5,89.5,52.2,9.97,11.8,-4.6,-16.3,23.0,0,46.9
3.0,4769.0,57.5,106.5,56.4,9.88,11.8,-4.3,-15.6,20.5,0,35.5
3.1,4954.0,56.8,110.5,60.0,10.04,11.8,-4.9,-16.3,20.7,0,40.9
3.2,4964.0,56.6,103.3,53.2,9.59,11.8,-7.4,-15.3,19.9,0,36.7
3.3,4869.0,51.9,102.5,49.9,9.99,11.8,-3.9,-15.0,21.2,0,43.1
3.4,4816.0,57.0,103.9,58.1,10.17,11.8,-4.2,-15.9,20.8,0,37.2
3.5,4805.0,55.8,94.2,59.3,10.02,11.8,-5.1,-14.9,21.5,0,38.0
3.6,4874.0,56.1,95.1,61.1,9.93,11.8,-5.7,-16.4,21.4,0,38.2
3.7,5003.0,59.7,108.0,59.8,9.88,11.8,-5.7,-15.2,18.9,0,39.8
3.8,4867.0,60.3,101.3,65.8,9.69,11.8,-6.1,-12.6,20.9,0,41.0
3.9,5081.0,62.6,103.7,61.7,9.88,11.8,-5.0,-13.5,19.5,0,41.5
4.0,5271.0,64.2,108.6,67.5,10.21,11.8,-6.0,-13.8,18.3,0,40.0
4.1,5031.0,58.2,94.0,55.4,9.87,11.8,-7.3,-15.2,21.6,0,36.0
4.2,4900.0,55.4,100.1,56.6,9.68,11.8,-7.6,-15.8,22.2,0,42.2
4.3,4922.0,53.7,98.3,46.7,9.78,11.8,-7.1,-15.4,21.3,0,39.8
4.4,5197.0,58.8,110.7,55.4,9.95,11.8,-5.7,-14.1,20.9,0,43.5
4.5,5117.0,60.3,109.3,61.7,9.81,11.8,-6.0,-13.0,20.7,0,37.9
4.6,5248.0,58.6,110.4,54.7,10.02,11.8,-5.7,-12.9,21.6,0,35.2
4.7,5097.0,60.3,106.5,61.6,10.03,11.8,-5.2,-13.2,20.7,0,39.9
4.8,5277.0,58.2,102.7,60.9,10.12,11.8,-6.9,-14.9,19.0,0,43.9
4.9,5174.0,54.2,108.9,52.7,10.26,11.8,-3.8,-14.0,23.0,0,40.5
5.0,5120.0,63.5,107.9,60.6,10.15,11.8,-6.4,-14.4,20.5,0,39.4
5.1,5174.0,59.0,111.5,57.5,9.67,11.8,-6.7,-14.2,19.7,0,37.4
5.2,5091.0,56.5,113.3,53.6,9.67,11.8,-5.3,-11.6,19.5,0,45.3
5.3,5485.0,60.1,106.1,59.8,9.88,11.8,-8.8,-16.1,20.5,0,36.9
5.4,5245.0,63.4,106.4,63.7,9.79,11.8,-7.2,-14.3,19.2,0,37.8
5.5,5343.0,68.4,107.0,67.4,9.62,11.8,-4.5,-12.5,18.9,0,41.7
5.6,5209.0,59.7,107.9,64.7,9.79,11.8,-8.6,-15.8,20.8,0,34.4
5.7,5155.0,59.8,106.2,57.6,9.78,11.8,-4.3,-14.8,19.5,0,43.8
5.8,5259.0,66.2,107.3,70.3,9.73,11.8,-3.7,-14.6,17.9,0,41.9
5.9,5424.0,56.6,115.8,53.4,9.82,11.8,-6.6,-14.3,21.0,0,42.7
6.0,5233.0,69.4,103.3,69.7,10.19,11.8,-5.6,-15.9,17.9,0,41.7
6.1,5194.0,70.9,102.8,74.4,9.95,11.8,-4.3,-13.3,18.3,0,39.5
6.2,5318.0,51.7,105.4,55.1,10.52,11.8,-6.7,-13.2,20.0,0,36.8
6.3,5360.0,62.7,108.9,61.4,9.94,11.8,-4.7,-13.4,19.3,0,39.6
6.4,5496.0,61.8,108.2,63.5,9.83,11.8,-7.0,-15.0,20.4,0,37.1
6.5,5340.0,61.8,109.7,63.0,9.9,11.8,-6.7,-13.9,20.3,0,41.5
6.6,5372.0,61.5,109.9,59.9,9.96,11.8,-7.2,-15.1,19.0,0,42.4
6.7,5377.0,66.5,107.5,68.3,10.01,11.8,-5.5,-14.4,17.7,0,44.4
6.8,5147.0,60.1,109.5,65.7,10.42,11.8,-4.3,-11.4,20.0,0,41.1
6.9,5163.0,57.1,106.1,58.5,9.69,11.8,-6.3,-13.9,21.0,0,42.8
7.0,5141.0,59.8,110.1,61.5,10.11,11.8,-7.9,-15.4,20.4,0,39.1
7.1,5103.0,62.1,104.3,64.1,9.95,11.8,-7.6,-13.8,19.1,0,38.6
7.2,5348.0,58.2,110.0,53.8,9.51,11.8,-5.4,-15.6,20.6,0,41.4
7.3,5277.0,55.5,106.4,56.9,10.09,11.8,-3.2,-15.4,22.3,0,38.8
7.4,5240.0,69.6,107.9,66.6,10.22,11.8,-5.4,-15.2,18.6,0,40.8
7.5,4906.0,55.2,103.9,53.4,9.69,11.8,-6.6,-14.5,19.2,0,36.8
7.6,5450.0,63.6,110.6,70.1,9.9,11.8,-4.9,-12.9,19.6,0,37.4
7.7,5081.0,58.2,106.7,57.4,9.47,11.8,-6.4,-13.3,22.3,0,41.9
7.8,5418.0,65.9,108.3,63.7,9.59,11.8,-6.6,-13.4,17.7,0,42.7
7.9,4981.0,65.7,105.6,69.1,10.16,11.8,-7.4,-15.3,19.1,0,37.0
8.0,5039.0,61.6,101.4,58.8,9.78,11.8,-3.9,-14.6,19.5,0,42.0
8.1,4853.0,51.0,103.3,49.7,9.62,11.8,-9.8,-13.7,21.6,0,38.4
8.2,5141.0,54.9,106.1,58.7,9.96,11.8,-4.8,-14.8,21.0,0,40.0
8.3,4944.0,56.6,107.9,56.7,9.77,11.8,-6.7,-14.3,21.7,0,44.3
8.4,4925.0,56.9,96.8,52.2,9.78,11.8,-6.6,-13.5,20.6,0,42.4
8.5,4866.0,50.4,94.3,52.0,10.08,11.8,-3.5,-14.4,22.9,0,42.4
8.6,5100.0,63.3,102.5,62.1,9.61,11.8,-7.1,-13.7,19.3,0,45.7
8.7,5067.0,55.3,98.8,59.9,9.67,11.8,-7.0,-12.1,20.4,0,37.9
8.8,5173.0,66.8,101.0,65.0,9.94,11.8,-6.2,-14.2,18.2,0,37.0
8.9,4846.0,64.3,102.3,67.4,10.14,11.8,-5.4,-12.6,17.5,0,37.8
9.0,4927.0,57.0,101.4,62.3,10.21,11.8,-6.7,-13.3,20.8,0,39.2
9.1,4717.0,57.3,95.2,54.7,9.73,11.8,-8.4,-15.8,22.5,0,32.9
9.2,4802.0,51.6,97.3,51.0,10.13,11.8,-7.3,-15.3,21.9,0,39.4
9.3,4750.0,58.4,95.4,59.5,9.7,11.8,-4.1,-15.0,21.0,0,38.4
9.4,4836.0,54.9,106.2,52.3,10.36,11.8,-5.9,-15.0,20.4,0,42.4
9.5,4871.0,53.0,97.3,53.8,9.62,11.8,-5.3,-14.1,20.9,0,41.1
9.6,4835.0,55.7,94.3,55.0,10.23,11.8,-6.4,-13.3,21.7,0,38.2
9.7,4581.0,52.0,97.5,51.3,9.74,11.8,-7.0,-12.5,23.3,0,41.8
9.8,4768.0,54.8,97.3,54.9,10.4,11.8,-3.5,-13.6,22.4,0,42.2
9.9,4608.0,58.0,103.0,58.2,10.05,11.8,-6.3,-14.5,21.1,0,37.7
10.0,4538.0,50.3,91.3,50.7,9.65,11.8,-6.7,-16.5,21.7,0,38.5
